U+A000	ꀀ	uA000
U+A08B	ꂋ	uA08B
U+A08C	ꂌ	uA08C
U+A08D	ꂍ	uA08D
U+A08E	ꂎ	uA08E
U+A08F	ꂏ	uA08F
U+A090	ꂐ	uA090
U+A091	ꂑ	uA091
U+A092	ꂒ	uA092
U+A093	ꂓ	uA093
U+A094	ꂔ	uA094
U+A095	ꂕ	uA095
U+A096	ꂖ	uA096
U+A097	ꂗ	uA097
U+A098	ꂘ	uA098
U+A099	ꂙ	uA099
U+A09A	ꂚ	uA09A
U+A09B	ꂛ	uA09B
U+A09C	ꂜ	uA09C
U+A09D	ꂝ	uA09D
U+A09E	ꂞ	uA09E
U+A09F	ꂟ	uA09F
U+A0A0	ꂠ	uA0A0
U+A0A1	ꂡ	uA0A1
U+A0A2	ꂢ	uA0A2
U+A0A3	ꂣ	uA0A3
U+A0A4	ꂤ	uA0A4
U+A0A5	ꂥ	uA0A5
U+A0A6	ꂦ	uA0A6
U+A0A7	ꂧ	uA0A7
U+A0A8	ꂨ	uA0A8
U+A0A9	ꂩ	uA0A9
U+A0AA	ꂪ	uA0AA
U+A0AB	ꂫ	uA0AB
U+A0AC	ꂬ	uA0AC
U+A0AD	ꂭ	uA0AD
U+A0AE	ꂮ	uA0AE
U+A0AF	ꂯ	uA0AF
U+A0B0	ꂰ	uA0B0
U+A0B1	ꂱ	uA0B1
U+A0B2	ꂲ	uA0B2
U+A0B3	ꂳ	uA0B3
U+A0B4	ꂴ	uA0B4
U+A0B5	ꂵ	uA0B5
U+A0B6	ꂶ	uA0B6
U+A0B7	ꂷ	uA0B7
U+A0B8	ꂸ	uA0B8
U+A0B9	ꂹ	uA0B9
U+A0BA	ꂺ	uA0BA
U+A0BB	ꂻ	uA0BB
U+A0BC	ꂼ	uA0BC
U+A0BD	ꂽ	uA0BD
U+A0BE	ꂾ	uA0BE
U+A0BF	ꂿ	uA0BF
U+A0C0	ꃀ	uA0C0
U+A0C1	ꃁ	uA0C1
U+A0C2	ꃂ	uA0C2
U+A0C3	ꃃ	uA0C3
U+A0C4	ꃄ	uA0C4
U+A0C5	ꃅ	uA0C5
U+A0C6	ꃆ	uA0C6
U+A0C7	ꃇ	uA0C7
U+A0C8	ꃈ	uA0C8
U+A0C9	ꃉ	uA0C9
U+A0CA	ꃊ	uA0CA
U+A0CB	ꃋ	uA0CB
U+A0CC	ꃌ	uA0CC
U+A0CD	ꃍ	uA0CD
U+A0CE	ꃎ	uA0CE
U+A0CF	ꃏ	uA0CF
U+A0D0	ꃐ	uA0D0
U+A0D1	ꃑ	uA0D1
U+A0D2	ꃒ	uA0D2
U+A0D3	ꃓ	uA0D3
U+A0D4	ꃔ	uA0D4
U+A0D5	ꃕ	uA0D5
U+A0D6	ꃖ	uA0D6
U+A0D7	ꃗ	uA0D7
U+A0D8	ꃘ	uA0D8
U+A0D9	ꃙ	uA0D9
U+A0DA	ꃚ	uA0DA
U+A0DB	ꃛ	uA0DB
U+A0DC	ꃜ	uA0DC
U+A0DD	ꃝ	uA0DD
U+A0DE	ꃞ	uA0DE
U+A0DF	ꃟ	uA0DF
U+A0E0	ꃠ	uA0E0
U+A0E1	ꃡ	uA0E1
U+A0E2	ꃢ	uA0E2
U+A0E3	ꃣ	uA0E3
U+A0E4	ꃤ	uA0E4
U+A0E5	ꃥ	uA0E5
U+A0E6	ꃦ	uA0E6
U+A0E7	ꃧ	uA0E7
U+A0E8	ꃨ	uA0E8
U+A0E9	ꃩ	uA0E9
U+A0EA	ꃪ	uA0EA
U+A0EB	ꃫ	uA0EB
U+A0EC	ꃬ	uA0EC
U+A0ED	ꃭ	uA0ED
U+A0EE	ꃮ	uA0EE
U+A0EF	ꃯ	uA0EF
U+A0F0	ꃰ	uA0F0
U+A0F1	ꃱ	uA0F1
U+A0F2	ꃲ	uA0F2
U+A0F3	ꃳ	uA0F3
U+A0F4	ꃴ	uA0F4
U+A0F5	ꃵ	uA0F5
U+A0F6	ꃶ	uA0F6
U+A0F7	ꃷ	uA0F7
U+A0F8	ꃸ	uA0F8
U+A0F9	ꃹ	uA0F9
U+A0FA	ꃺ	uA0FA
U+A0FB	ꃻ	uA0FB
U+A0FC	ꃼ	uA0FC
U+A0FD	ꃽ	uA0FD
U+A0FE	ꃾ	uA0FE
U+A0FF	ꃿ	uA0FF
U+A100	ꄀ	uA100
U+A101	ꄁ	uA101
U+A102	ꄂ	uA102
U+A103	ꄃ	uA103
U+A104	ꄄ	uA104
U+A105	ꄅ	uA105
U+A106	ꄆ	uA106
U+A107	ꄇ	uA107
U+A108	ꄈ	uA108
U+A109	ꄉ	uA109
U+A10A	ꄊ	uA10A
U+A10B	ꄋ	uA10B
U+A10C	ꄌ	uA10C
U+A10D	ꄍ	uA10D
U+A10E	ꄎ	uA10E
U+A10F	ꄏ	uA10F
U+A110	ꄐ	uA110
U+A111	ꄑ	uA111
U+A112	ꄒ	uA112
U+A113	ꄓ	uA113
U+A114	ꄔ	uA114
U+A115	ꄕ	uA115
U+A116	ꄖ	uA116
U+A117	ꄗ	uA117
U+A118	ꄘ	uA118
U+A119	ꄙ	uA119
U+A11A	ꄚ	uA11A
U+A11B	ꄛ	uA11B
U+A11C	ꄜ	uA11C
U+A11D	ꄝ	uA11D
U+A11E	ꄞ	uA11E
U+A11F	ꄟ	uA11F
U+A120	ꄠ	uA120
U+A121	ꄡ	uA121
U+A122	ꄢ	uA122
U+A123	ꄣ	uA123
U+A124	ꄤ	uA124
U+A125	ꄥ	uA125
U+A126	ꄦ	uA126
U+A127	ꄧ	uA127
U+A128	ꄨ	uA128
U+A129	ꄩ	uA129
U+A12A	ꄪ	uA12A
U+A12B	ꄫ	uA12B
U+A12C	ꄬ	uA12C
U+A12D	ꄭ	uA12D
U+A12E	ꄮ	uA12E
U+A12F	ꄯ	uA12F
U+A130	ꄰ	uA130
U+A131	ꄱ	uA131
U+A132	ꄲ	uA132
U+A133	ꄳ	uA133
U+A134	ꄴ	uA134
U+A135	ꄵ	uA135
U+A136	ꄶ	uA136
U+A137	ꄷ	uA137
U+A138	ꄸ	uA138
U+A139	ꄹ	uA139
U+A13A	ꄺ	uA13A
U+A13B	ꄻ	uA13B
U+A13C	ꄼ	uA13C
U+A13D	ꄽ	uA13D
U+A13E	ꄾ	uA13E
U+A13F	ꄿ	uA13F
U+A140	ꅀ	uA140
U+A141	ꅁ	uA141
U+A142	ꅂ	uA142
U+A143	ꅃ	uA143
U+A144	ꅄ	uA144
U+A145	ꅅ	uA145
U+A146	ꅆ	uA146
U+A147	ꅇ	uA147
U+A148	ꅈ	uA148
U+A149	ꅉ	uA149
U+A14A	ꅊ	uA14A
U+A14B	ꅋ	uA14B
U+A14C	ꅌ	uA14C
U+A14D	ꅍ	uA14D
U+A14E	ꅎ	uA14E
U+A14F	ꅏ	uA14F
U+A150	ꅐ	uA150
U+A151	ꅑ	uA151
U+A152	ꅒ	uA152
U+A153	ꅓ	uA153
U+A154	ꅔ	uA154
U+A155	ꅕ	uA155
U+A156	ꅖ	uA156
U+A157	ꅗ	uA157
U+A158	ꅘ	uA158
U+A159	ꅙ	uA159
U+A15A	ꅚ	uA15A
U+A15B	ꅛ	uA15B
U+A15C	ꅜ	uA15C
U+A15D	ꅝ	uA15D
U+A15E	ꅞ	uA15E
U+A15F	ꅟ	uA15F
U+A160	ꅠ	uA160
U+A161	ꅡ	uA161
U+A162	ꅢ	uA162
U+A163	ꅣ	uA163
U+A164	ꅤ	uA164
U+A165	ꅥ	uA165
U+A166	ꅦ	uA166
U+A167	ꅧ	uA167
U+A168	ꅨ	uA168
U+A169	ꅩ	uA169
U+A16A	ꅪ	uA16A
U+A16B	ꅫ	uA16B
U+A16C	ꅬ	uA16C
U+A16D	ꅭ	uA16D
U+A16E	ꅮ	uA16E
U+A16F	ꅯ	uA16F
U+A170	ꅰ	uA170
U+A171	ꅱ	uA171
U+A172	ꅲ	uA172
U+A173	ꅳ	uA173
U+A174	ꅴ	uA174
U+A175	ꅵ	uA175
U+A176	ꅶ	uA176
U+A177	ꅷ	uA177
U+A178	ꅸ	uA178
U+A179	ꅹ	uA179
U+A17A	ꅺ	uA17A
U+A17B	ꅻ	uA17B
U+A17C	ꅼ	uA17C
U+A17D	ꅽ	uA17D
U+A17E	ꅾ	uA17E
U+A17F	ꅿ	uA17F
U+A180	ꆀ	uA180
U+A181	ꆁ	uA181
U+A182	ꆂ	uA182
U+A183	ꆃ	uA183
U+A184	ꆄ	uA184
U+A185	ꆅ	uA185
U+A186	ꆆ	uA186
U+A187	ꆇ	uA187
U+A188	ꆈ	uA188
U+A189	ꆉ	uA189
U+A18A	ꆊ	uA18A
U+A18B	ꆋ	uA18B
U+A18C	ꆌ	uA18C
U+A18D	ꆍ	uA18D
U+A18E	ꆎ	uA18E
U+A18F	ꆏ	uA18F
U+A190	ꆐ	uA190
U+A191	ꆑ	uA191
U+A192	ꆒ	uA192
U+A193	ꆓ	uA193
U+A194	ꆔ	uA194
U+A195	ꆕ	uA195
U+A196	ꆖ	uA196
U+A197	ꆗ	uA197
U+A198	ꆘ	uA198
U+A199	ꆙ	uA199
U+A19A	ꆚ	uA19A
U+A19B	ꆛ	uA19B
U+A19C	ꆜ	uA19C
U+A19D	ꆝ	uA19D
U+A19E	ꆞ	uA19E
U+A19F	ꆟ	uA19F
U+A1A0	ꆠ	uA1A0
U+A1A1	ꆡ	uA1A1
U+A1A2	ꆢ	uA1A2
U+A1A3	ꆣ	uA1A3
U+A1A4	ꆤ	uA1A4
U+A1A5	ꆥ	uA1A5
U+A1A6	ꆦ	uA1A6
U+A1A7	ꆧ	uA1A7
U+A1A8	ꆨ	uA1A8
U+A1A9	ꆩ	uA1A9
U+A1AA	ꆪ	uA1AA
U+A1AB	ꆫ	uA1AB
U+A1AC	ꆬ	uA1AC
U+A1AD	ꆭ	uA1AD
U+A1AE	ꆮ	uA1AE
U+A1AF	ꆯ	uA1AF
U+A1B0	ꆰ	uA1B0
U+A1B1	ꆱ	uA1B1
U+A1B2	ꆲ	uA1B2
U+A1B3	ꆳ	uA1B3
U+A1B4	ꆴ	uA1B4
U+A1B5	ꆵ	uA1B5
U+A1B6	ꆶ	uA1B6
U+A1B7	ꆷ	uA1B7
U+A1B8	ꆸ	uA1B8
U+A1B9	ꆹ	uA1B9
U+A1BA	ꆺ	uA1BA
U+A1BB	ꆻ	uA1BB
U+A1BC	ꆼ	uA1BC
U+A1BD	ꆽ	uA1BD
U+A1BE	ꆾ	uA1BE
U+A1BF	ꆿ	uA1BF
U+A1C0	ꇀ	uA1C0
U+A1C1	ꇁ	uA1C1
U+A1C2	ꇂ	uA1C2
U+A1C3	ꇃ	uA1C3
U+A1C4	ꇄ	uA1C4
U+A1C5	ꇅ	uA1C5
U+A1C6	ꇆ	uA1C6
U+A1C7	ꇇ	uA1C7
U+A1C8	ꇈ	uA1C8
U+A1C9	ꇉ	uA1C9
U+A1CA	ꇊ	uA1CA
U+A1CB	ꇋ	uA1CB
U+A1CD	ꇍ	uA1CD
U+A1CE	ꇎ	uA1CE
U+A1CF	ꇏ	uA1CF
U+A1D0	ꇐ	uA1D0
U+A1D1	ꇑ	uA1D1
U+A1D2	ꇒ	uA1D2
U+A1D3	ꇓ	uA1D3
U+A1D4	ꇔ	uA1D4
U+A1D5	ꇕ	uA1D5
U+A1D6	ꇖ	uA1D6
U+A1D7	ꇗ	uA1D7
U+A1D8	ꇘ	uA1D8
U+A1D9	ꇙ	uA1D9
U+A1DA	ꇚ	uA1DA
U+A1DB	ꇛ	uA1DB
U+A1DC	ꇜ	uA1DC
U+A1DD	ꇝ	uA1DD
U+A1DE	ꇞ	uA1DE
U+A1DF	ꇟ	uA1DF
U+A1E0	ꇠ	uA1E0
U+A1E1	ꇡ	uA1E1
U+A1E2	ꇢ	uA1E2
U+A1E3	ꇣ	uA1E3
U+A1E4	ꇤ	uA1E4
U+A1E5	ꇥ	uA1E5
U+A1E6	ꇦ	uA1E6
U+A1E7	ꇧ	uA1E7
U+A1E8	ꇨ	uA1E8
U+A1E9	ꇩ	uA1E9
U+A1EA	ꇪ	uA1EA
U+A1EB	ꇫ	uA1EB
U+A1EC	ꇬ	uA1EC
U+A1ED	ꇭ	uA1ED
U+A1EE	ꇮ	uA1EE
U+A1EF	ꇯ	uA1EF
U+A1F0	ꇰ	uA1F0
U+A1F1	ꇱ	uA1F1
U+A1F2	ꇲ	uA1F2
U+A1F3	ꇳ	uA1F3
U+A1F4	ꇴ	uA1F4
U+A1F5	ꇵ	uA1F5
U+A1F6	ꇶ	uA1F6
U+A1F7	ꇷ	uA1F7
U+A1F8	ꇸ	uA1F8
U+A1F9	ꇹ	uA1F9
U+A1FA	ꇺ	uA1FA
U+A1FB	ꇻ	uA1FB
U+A1FC	ꇼ	uA1FC
U+A1FD	ꇽ	uA1FD
U+A1FE	ꇾ	uA1FE
U+A1FF	ꇿ	uA1FF
U+A200	ꈀ	uA200
U+A201	ꈁ	uA201
U+A202	ꈂ	uA202
U+A203	ꈃ	uA203
U+A204	ꈄ	uA204
U+A205	ꈅ	uA205
U+A206	ꈆ	uA206
U+A207	ꈇ	uA207
U+A208	ꈈ	uA208
U+A209	ꈉ	uA209
U+A20A	ꈊ	uA20A
U+A20B	ꈋ	uA20B
U+A20C	ꈌ	uA20C
U+A20D	ꈍ	uA20D
U+A20E	ꈎ	uA20E
U+A20F	ꈏ	uA20F
U+A210	ꈐ	uA210
U+A211	ꈑ	uA211
U+A212	ꈒ	uA212
U+A213	ꈓ	uA213
U+A214	ꈔ	uA214
U+A215	ꈕ	uA215
U+A216	ꈖ	uA216
U+A217	ꈗ	uA217
U+A218	ꈘ	uA218
U+A219	ꈙ	uA219
U+A21A	ꈚ	uA21A
U+A21B	ꈛ	uA21B
U+A21C	ꈜ	uA21C
U+A21D	ꈝ	uA21D
U+A21E	ꈞ	uA21E
U+A21F	ꈟ	uA21F
U+A220	ꈠ	uA220
U+A221	ꈡ	uA221
U+A222	ꈢ	uA222
U+A223	ꈣ	uA223
U+A224	ꈤ	uA224
U+A225	ꈥ	uA225
U+A226	ꈦ	uA226
U+A227	ꈧ	uA227
U+A228	ꈨ	uA228
U+A229	ꈩ	uA229
U+A22A	ꈪ	uA22A
U+A22B	ꈫ	uA22B
U+A22C	ꈬ	uA22C
U+A22D	ꈭ	uA22D
U+A22E	ꈮ	uA22E
U+A22F	ꈯ	uA22F
U+A230	ꈰ	uA230
U+A231	ꈱ	uA231
U+A232	ꈲ	uA232
U+A233	ꈳ	uA233
U+A234	ꈴ	uA234
U+A235	ꈵ	uA235
U+A236	ꈶ	uA236
U+A237	ꈷ	uA237
U+A238	ꈸ	uA238
U+A239	ꈹ	uA239
U+A23A	ꈺ	uA23A
U+A23B	ꈻ	uA23B
U+A23C	ꈼ	uA23C
U+A23D	ꈽ	uA23D
U+A23E	ꈾ	uA23E
U+A23F	ꈿ	uA23F
U+A240	ꉀ	uA240
U+A241	ꉁ	uA241
U+A242	ꉂ	uA242
U+A243	ꉃ	uA243
U+A244	ꉄ	uA244
U+A245	ꉅ	uA245
U+A246	ꉆ	uA246
U+A247	ꉇ	uA247
U+A248	ꉈ	uA248
U+A249	ꉉ	uA249
U+A24A	ꉊ	uA24A
U+A24B	ꉋ	uA24B
U+A24C	ꉌ	uA24C
U+A24D	ꉍ	uA24D
U+A24E	ꉎ	uA24E
U+A24F	ꉏ	uA24F
U+A250	ꉐ	uA250
U+A251	ꉑ	uA251
U+A252	ꉒ	uA252
U+A253	ꉓ	uA253
U+A254	ꉔ	uA254
U+A255	ꉕ	uA255
U+A256	ꉖ	uA256
U+A257	ꉗ	uA257
U+A258	ꉘ	uA258
U+A259	ꉙ	uA259
U+A25A	ꉚ	uA25A
U+A25B	ꉛ	uA25B
U+A25C	ꉜ	uA25C
U+A25D	ꉝ	uA25D
U+A25E	ꉞ	uA25E
U+A25F	ꉟ	uA25F
U+A260	ꉠ	uA260
U+A261	ꉡ	uA261
U+A262	ꉢ	uA262
U+A263	ꉣ	uA263
U+A264	ꉤ	uA264
U+A265	ꉥ	uA265
U+A266	ꉦ	uA266
U+A267	ꉧ	uA267
U+A268	ꉨ	uA268
U+A269	ꉩ	uA269
U+A26A	ꉪ	uA26A
U+A26B	ꉫ	uA26B
U+A26C	ꉬ	uA26C
U+A26D	ꉭ	uA26D
U+A26E	ꉮ	uA26E
U+A26F	ꉯ	uA26F
U+A270	ꉰ	uA270
U+A271	ꉱ	uA271
U+A272	ꉲ	uA272
U+A273	ꉳ	uA273
U+A274	ꉴ	uA274
U+A275	ꉵ	uA275
U+A276	ꉶ	uA276
U+A277	ꉷ	uA277
U+A278	ꉸ	uA278
U+A279	ꉹ	uA279
U+A27A	ꉺ	uA27A
U+A27B	ꉻ	uA27B
U+A27C	ꉼ	uA27C
U+A27D	ꉽ	uA27D
U+A27E	ꉾ	uA27E
U+A27F	ꉿ	uA27F
U+A280	ꊀ	uA280
U+A281	ꊁ	uA281
U+A282	ꊂ	uA282
U+A283	ꊃ	uA283
U+A284	ꊄ	uA284
U+A285	ꊅ	uA285
U+A286	ꊆ	uA286
U+A287	ꊇ	uA287
U+A288	ꊈ	uA288
U+A289	ꊉ	uA289
U+A28A	ꊊ	uA28A
U+A28B	ꊋ	uA28B
U+A28C	ꊌ	uA28C
U+A28D	ꊍ	uA28D
U+A28E	ꊎ	uA28E
U+A28F	ꊏ	uA28F
U+A290	ꊐ	uA290
U+A291	ꊑ	uA291
U+A292	ꊒ	uA292
U+A293	ꊓ	uA293
U+A294	ꊔ	uA294
U+A295	ꊕ	uA295
U+A296	ꊖ	uA296
U+A297	ꊗ	uA297
U+A298	ꊘ	uA298
U+A299	ꊙ	uA299
U+A29A	ꊚ	uA29A
U+A29B	ꊛ	uA29B
U+A29C	ꊜ	uA29C
U+A29D	ꊝ	uA29D
U+A29E	ꊞ	uA29E
U+A29F	ꊟ	uA29F
U+A2A0	ꊠ	uA2A0
U+A2A1	ꊡ	uA2A1
U+A2A2	ꊢ	uA2A2
U+A2A3	ꊣ	uA2A3
U+A2A4	ꊤ	uA2A4
U+A2A5	ꊥ	uA2A5
U+A2A6	ꊦ	uA2A6
U+A2A7	ꊧ	uA2A7
U+A2A8	ꊨ	uA2A8
U+A2A9	ꊩ	uA2A9
U+A2AA	ꊪ	uA2AA
U+A2AB	ꊫ	uA2AB
U+A2AC	ꊬ	uA2AC
U+A2AD	ꊭ	uA2AD
U+A2AE	ꊮ	uA2AE
U+A2AF	ꊯ	uA2AF
U+A2B0	ꊰ	uA2B0
U+A2B1	ꊱ	uA2B1
U+A2B2	ꊲ	uA2B2
U+A2B3	ꊳ	uA2B3
U+A2B4	ꊴ	uA2B4
U+A2B5	ꊵ	uA2B5
U+A2B6	ꊶ	uA2B6
U+A2B7	ꊷ	uA2B7
U+A2B8	ꊸ	uA2B8
U+A2B9	ꊹ	uA2B9
U+A2BA	ꊺ	uA2BA
U+A2BB	ꊻ	uA2BB
U+A2BC	ꊼ	uA2BC
U+A2BD	ꊽ	uA2BD
U+A2BE	ꊾ	uA2BE
U+A2BF	ꊿ	uA2BF
U+A2C0	ꋀ	uA2C0
U+A2C1	ꋁ	uA2C1
U+A2C2	ꋂ	uA2C2
U+A2C3	ꋃ	uA2C3
U+A2C4	ꋄ	uA2C4
U+A2C5	ꋅ	uA2C5
U+A2C6	ꋆ	uA2C6
U+A2C7	ꋇ	uA2C7
U+A2C8	ꋈ	uA2C8
U+A2C9	ꋉ	uA2C9
U+A2CA	ꋊ	uA2CA
U+A2CB	ꋋ	uA2CB
U+A2CC	ꋌ	uA2CC
U+A2CD	ꋍ	uA2CD
U+A2CE	ꋎ	uA2CE
U+A2CF	ꋏ	uA2CF
U+A2D0	ꋐ	uA2D0
U+A2D1	ꋑ	uA2D1
U+A2D2	ꋒ	uA2D2
U+A2D3	ꋓ	uA2D3
U+A2D4	ꋔ	uA2D4
U+A2D5	ꋕ	uA2D5
U+A2D6	ꋖ	uA2D6
U+A2D7	ꋗ	uA2D7
U+A2D8	ꋘ	uA2D8
U+A2D9	ꋙ	uA2D9
U+A2DA	ꋚ	uA2DA
U+A2DB	ꋛ	uA2DB
U+A2DC	ꋜ	uA2DC
U+A2DD	ꋝ	uA2DD
U+A2DE	ꋞ	uA2DE
U+A2DF	ꋟ	uA2DF
U+A2E0	ꋠ	uA2E0
U+A2E1	ꋡ	uA2E1
U+A2E2	ꋢ	uA2E2
U+A2E3	ꋣ	uA2E3
U+A2E4	ꋤ	uA2E4
U+A2E5	ꋥ	uA2E5
U+A2E6	ꋦ	uA2E6
U+A2E7	ꋧ	uA2E7
U+A2E8	ꋨ	uA2E8
U+A2E9	ꋩ	uA2E9
U+A2EA	ꋪ	uA2EA
U+A2EB	ꋫ	uA2EB
U+A2EC	ꋬ	uA2EC
U+A2ED	ꋭ	uA2ED
U+A2EE	ꋮ	uA2EE
U+A2EF	ꋯ	uA2EF
U+A2F0	ꋰ	uA2F0
U+A2F1	ꋱ	uA2F1
U+A2F2	ꋲ	uA2F2
U+A2F3	ꋳ	uA2F3
U+A2F4	ꋴ	uA2F4
U+A2F5	ꋵ	uA2F5
U+A2F6	ꋶ	uA2F6
U+A2F7	ꋷ	uA2F7
U+A2F8	ꋸ	uA2F8
U+A2F9	ꋹ	uA2F9
U+A2FA	ꋺ	uA2FA
U+A2FB	ꋻ	uA2FB
U+A2FC	ꋼ	uA2FC
U+A2FD	ꋽ	uA2FD
U+A2FE	ꋾ	uA2FE
U+A2FF	ꋿ	uA2FF
U+A300	ꌀ	uA300
U+A301	ꌁ	uA301
U+A302	ꌂ	uA302
U+A303	ꌃ	uA303
U+A304	ꌄ	uA304
U+A305	ꌅ	uA305
U+A306	ꌆ	uA306
U+A307	ꌇ	uA307
U+A308	ꌈ	uA308
U+A309	ꌉ	uA309
U+A30A	ꌊ	uA30A
U+A30B	ꌋ	uA30B
U+A30C	ꌌ	uA30C
U+A30D	ꌍ	uA30D
U+A30E	ꌎ	uA30E
U+A30F	ꌏ	uA30F
U+A310	ꌐ	uA310
U+A311	ꌑ	uA311
U+A312	ꌒ	uA312
U+A313	ꌓ	uA313
U+A314	ꌔ	uA314
U+A315	ꌕ	uA315
U+A316	ꌖ	uA316
U+A317	ꌗ	uA317
U+A318	ꌘ	uA318
U+A319	ꌙ	uA319
U+A31A	ꌚ	uA31A
U+A31B	ꌛ	uA31B
U+A31C	ꌜ	uA31C
U+A31D	ꌝ	uA31D
U+A31E	ꌞ	uA31E
U+A31F	ꌟ	uA31F
U+A320	ꌠ	uA320
U+A321	ꌡ	uA321
U+A322	ꌢ	uA322
U+A323	ꌣ	uA323
U+A324	ꌤ	uA324
U+A325	ꌥ	uA325
U+A326	ꌦ	uA326
U+A327	ꌧ	uA327
U+A328	ꌨ	uA328
U+A329	ꌩ	uA329
U+A32A	ꌪ	uA32A
U+A32B	ꌫ	uA32B
U+A32C	ꌬ	uA32C
U+A32D	ꌭ	uA32D
U+A32E	ꌮ	uA32E
U+A32F	ꌯ	uA32F
U+A330	ꌰ	uA330
U+A331	ꌱ	uA331
U+A332	ꌲ	uA332
U+A333	ꌳ	uA333
U+A334	ꌴ	uA334
U+A335	ꌵ	uA335
U+A336	ꌶ	uA336
U+A337	ꌷ	uA337
U+A338	ꌸ	uA338
U+A339	ꌹ	uA339
U+A33A	ꌺ	uA33A
U+A33B	ꌻ	uA33B
U+A33C	ꌼ	uA33C
